Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.48,0.0,0.48,0.0,0.52,100.031,100.27,100.02,100.05,200.33,0,0,0.8524,0.8287,-,,
2,unsat,0,1,1,0,0,0.84,0.0,0.84,0,0.84,0.073,0.22,0,0.0,0.22,0,0,0.8524,0.2445,-,,
3,unsat,0,2,1,0,0,0.72,0.0,0.72,0,0.72,0.711,0.94,0,0.0,0.94,0,0,0.8524,0.2445,-,,
4,unsat,0,3,1,0,0,0.84,0.0,0.84,0,0.84,0.09,0.23,0,0.0,0.23,0,0,0.8524,0.2445,-,,
5,unsat,0,4,1,0,0,0.76,0.0,0.76,0,0.76,2.146,2.29,0,0.0,2.29,0,0,0.8524,0.2445,-,,
6,sat,1,4,1,1,1,0.4,0.0,0.4,0.2,0.64,100.015,100.33,22.467,22.51,122.84,1,0,0.8524,0.7555,-,[29.  6.  3.  5.  1.  0.  0.  4.  1.  0.  5. 89. 20.],[29.  6.  3.  5.  1.  0.  0.  0.  0.  0.  5. 89. 20.]
7,unsat,1,5,1,0,0,0.84,0.0,0.84,0,0.84,0.068,0.26,0,0.0,0.26,0,0,0.8524,0.2445,-,,
8,unsat,1,6,1,0,0,0.76,0.0,0.76,0,0.76,1.138,1.29,0,0.0,1.29,0,0,0.8524,0.2445,-,,
9,sat,2,6,1,0,0,0.56,0.0,0.56,0,0.56,24.572,24.8,0,0.0,24.8,0,0,0.8524,0.2445,-,[99.  0. 12. 15.  0.  8.  1.  4.  1.  0. 19. 50. 36.],[99.  0. 12. 15.  0.  8.  1.  1.  0.  0. 19. 50. 36.]
10,unsat,2,7,1,0,0,0.84,0.0,0.84,0,0.84,0.057,0.19,0,0.0,0.19,0,0,0.8524,0.2445,-,,
11,sat,3,7,1,0,0,0.6,0.0,0.6,0,0.6,37.808,38.0,0,0.0,38.0,0,0,0.8524,0.2445,-,[100.   0.  13.  13.   0.  10.   2.   4.   1.   0.   0.  84.  18.],[100.   0.  13.  13.   0.  10.   2.   3.   0.   0.   0.  84.  18.]
12,unknown,3,7,2,1,0,0.44,0.0,0.44,0.12,0.6,100.023,100.3,100.033,100.06,200.37,0,0,0.8524,0.8287,-,,
13,sat,4,7,2,1,1,0.4,0.0,0.4,0.2,0.64,100.029,100.37,27.519,27.55,127.93,0,0,0.8524,0.2731,-,[29.  0. 10.  9.  0. 13.  0.  0.  1.  0. 11. 71. 38.],[29.  0. 10.  9.  0. 13.  0.  1.  0.  0. 11. 71. 38.]
14,sat,5,7,2,1,1,0.48,0.0,0.48,0.12,0.64,100.006,100.34,16.759,16.79,117.13,0,0,0.8524,0.3588,-,[93.  2.  8. 11.  2.  2.  5.  1.  1.  0. 16.  2. 31.],[93.  2.  8. 11.  2.  2.  5.  0.  0.  0. 16.  2. 31.]
15,unsat,5,8,2,0,0,0.84,0.0,0.84,0,0.84,0.078,0.22,0,0.0,0.22,0,0,0.8524,0.2445,-,,
16,unsat,5,9,2,0,0,0.8,0.0,0.8,0,0.8,0.363,0.47,0,0.0,0.47,0,0,0.8524,0.2445,-,,
17,unsat,5,10,2,0,0,0.84,0.0,0.84,0,0.84,0.048,0.15,0,0.0,0.15,0,0,0.8524,0.2445,-,,
18,unknown,5,10,3,1,0,0.36,0.0,0.36,0.16,0.56,100.095,100.42,100.008,100.05,200.47,0,0,0.8524,0.8358,-,,
19,unsat,5,11,3,0,0,0.84,0.0,0.84,0,0.84,0.065,0.17,0,0.0,0.17,0,0,0.8524,0.2445,-,,
20,unsat,5,12,3,0,0,0.76,0.0,0.76,0,0.76,1.112,1.22,0,0.0,1.22,0,0,0.8524,0.2445,-,,
21,unsat,5,13,3,0,0,0.8,0.0,0.8,0,0.8,0.06,0.17,0,0.0,0.17,0,0,0.8524,0.2445,-,,
22,unsat,5,14,3,0,0,0.84,0.0,0.84,0,0.84,0.105,0.2,0,0.0,0.2,0,0,0.8524,0.2445,-,,
23,sat,6,14,3,1,1,0.48,0.0,0.48,0.08,0.6,100.084,100.36,56.287,56.32,156.68,0,0,0.8524,0.3368,-,[80.  0.  3.  1.  6.  9.  0.  0.  0.  0. 10. 73. 29.],[80.  0.  3.  1.  6.  9.  0.  1.  1.  0. 10. 73. 29.]
24,sat,7,14,3,0,0,0.52,0.0,0.52,0,0.52,15.392,15.7,0,0.0,15.7,0,1,0.8524,0.2445,-,[93.  6.  0. 12.  1.  0.  0.  4.  0.  1.  6.  6. 40.],[93.  6.  0. 12.  1.  0.  0.  3.  1.  1.  6.  6. 40.]
