Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.2727,0.0,0.2727,0,0.2727,3.624,3.78,0,0.0,3.78,1,1,0.8284,0.4774,-,[79.  5.  0. 16.  0.  9.  0.  4.  1. 19. 19. 71. 20.],[79.  5.  0. 16.  0.  9.  0.  3.  0. 19. 19. 71. 20.]
2,unsat,1,1,0,0,0,0.2727,0.0,0.2727,0,0.2727,4.842,5.0,0,0.0,5.0,0,0,0.8284,0.4774,-,,
3,sat,2,1,0,0,0,0.1818,0.0,0.1818,0,0.1818,13.526,13.68,0,0.0,13.68,1,1,0.8284,0.8284,-,[84.  5. 10.  1.  2.  8.  1.  1.  1.  0. 11. 91. 36.],[84.  5. 10.  1.  2.  8.  1.  0.  0.  0. 11. 91. 36.]
4,unsat,2,2,0,0,0,0.2727,0.0909,0.3636,0,0.3636,7.331,7.49,0,0.0,7.49,0,0,0.8284,0.2563,-,,
5,sat,3,2,0,0,0,0.1818,0.0,0.1818,0,0.1818,24.219,24.47,0,0.0,24.47,1,1,0.8284,0.8284,-,[40.  0.  6. 10.  6. 11.  5.  1.  1.  1. 10. 33.  9.],[40.  0.  6. 10.  6. 11.  5.  4.  0.  1. 10. 33.  9.]
6,sat,4,2,0,0,0,0.1818,0.0,0.1818,0,0.1818,21.498,21.66,0,0.0,21.66,1,1,0.8284,0.8284,-,[87.  3. 15. 12.  4.  0.  5.  4.  1.  0.  0. 70. 39.],[87.  3. 15. 12.  4.  0.  5.  0.  0.  0.  0. 70. 39.]
7,sat,5,2,0,0,0,0.2727,0.0,0.2727,0,0.2727,1.86,2.06,0,0.0,2.06,1,1,0.8284,0.4774,-,[60.  0.  2. 13.  0.  0.  1.  1.  1. 17.  2. 44. 13.],[60.  0.  2. 13.  0.  0.  1.  0.  0. 17.  2. 44. 13.]
8,sat,6,2,0,0,0,0.3636,0.0,0.3636,0,0.3636,8.267,8.43,0,0.0,8.43,1,1,0.8284,0.2566,-,[39.  1. 10. 14.  3. 13.  5.  3.  1. 16.  8. 31. 11.],[39.  1. 10. 14.  3. 13.  5.  4.  0. 16.  8. 31. 11.]
9,sat,7,2,0,0,0,0.1818,0.0,0.1818,0,0.1818,9.323,9.46,0,0.0,9.46,1,1,0.8284,0.8284,-,[12.  6. 15. 12.  1.  8.  0.  1.  1.  0.  2. 10. 11.],[12.  6. 15. 12.  1.  8.  0.  0.  0.  0.  2. 10. 11.]
10,sat,8,2,0,0,0,0.3636,0.0,0.3636,0,0.3636,2.241,2.43,0,0.0,2.43,1,1,0.8284,0.2566,-,[82.  5. 15. 15.  4. 13.  2.  2.  1. 19.  0. 13. 39.],[82.  5. 15. 15.  4. 13.  2.  4.  0. 19.  0. 13. 39.]
11,unsat,8,3,0,0,0,0.3636,0.0909,0.4545,0,0.4545,3.674,3.81,0,0.0,3.81,0,0,0.8284,0.2563,-,,
12,sat,9,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,34.663,35.42,0,0.0,35.42,1,1,0.8284,0.8284,-,[70.  2. 13. 11.  5.  6.  2.  1.  0.  0. 13. 51. 10.],[70.  2. 13. 11.  5.  6.  2.  0.  1.  0. 13. 51. 10.]
13,sat,10,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,24.021,24.17,0,0.0,24.17,1,1,0.8284,0.8284,-,[81.  6.  1. 10.  1.  8.  1.  0.  1.  3. 14. 21. 21.],[81.  6.  1. 10.  1.  8.  1.  4.  0.  3. 14. 21. 21.]
14,sat,11,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,19.241,19.39,0,0.0,19.39,1,1,0.8284,0.8284,-,[60.  6.  2. 10.  5.  3.  4.  4.  0.  1.  9. 31. 11.],[60.  6.  2. 10.  5.  3.  4.  3.  1.  1.  9. 31. 11.]
