Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.48,0.0,0.48,0.12,0.64,100.605,105.39,100.17,100.32,205.7,0,0,0.8485,0.2445,-,,
2,unsat,0,1,1,0,0,0.824,0.0,0.824,0,0.824,10.699,10.9,0,0.0,10.9,0,0,0.8485,0.2445,-,,
3,unsat,0,2,1,1,1,0.664,0.0,0.664,0.112,0.792,100.028,101.83,42.413,42.48,144.32,0,0,0.8485,0.2445,-,,
4,unknown,0,2,2,1,0,0.336,0.0,0.336,0.224,0.616,100.671,108.7,101.563,101.72,210.43,0,0,0.8485,0.2445,-,,
5,unsat,0,3,2,1,1,0.672,0.0,0.672,0.104,0.784,104.372,106.46,24.449,24.52,130.99,0,0,0.8485,0.2445,-,,
6,unknown,0,3,3,1,0,0.48,0.0,0.48,0.152,0.672,100.082,104.73,100.1,100.22,204.96,0,0,0.8485,0.2445,-,,
7,unknown,0,3,4,1,0,0.408,0.0,0.408,0.176,0.64,100.251,106.17,100.006,100.16,206.33,0,0,0.8485,0.2445,-,,
8,unsat,0,4,4,1,1,0.776,0.0,0.776,0.032,0.816,100.029,101.05,39.398,39.46,140.51,0,0,0.8485,0.2445,-,,
9,unsat,0,5,4,1,1,0.792,0.0,0.792,0.032,0.832,100.121,101.19,7.279,7.34,108.54,0,0,0.8485,0.2445,-,,
10,unsat,0,6,4,0,0,0.808,0.0,0.808,0,0.808,29.367,30.2,0,0.0,30.2,0,0,0.8485,0.2445,-,,
11,unknown,0,6,5,1,0,0.536,0.0,0.536,0.144,0.72,100.397,104.31,100.03,100.13,204.44,0,0,0.8485,0.2445,-,,
12,unsat,0,7,5,0,0,0.656,0.0,0.656,0,0.656,52.734,54.81,0,0.0,54.81,0,0,0.8485,0.2445,-,,
13,unknown,0,7,6,1,0,0.416,0.0,0.416,0.144,0.616,103.32,107.76,100.26,100.42,208.19,0,0,0.8485,0.2445,-,,
