Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.1818,0.0,0.1818,0,0.1818,3.339,3.46,0,0.0,3.46,0,0,0.8284,0.7631,-,,
2,sat,1,1,0,0,0,0.1818,0.0,0.1818,0,0.1818,2.845,2.98,0,0.0,2.98,0,0,0.8284,0.7631,-,[90.  0.  9.  1.  6.  0.  0.  0.  1.  9. 19. 80. 19.],[90.  0.  9.  1.  6.  0.  0.  0.  0.  9. 19. 80. 19.]
3,sat,2,1,0,0,0,0.2727,0.0,0.2727,0,0.2727,1.192,1.34,0,0.0,1.34,0,0,0.8284,0.7108,-,[79.  0. 15.  6.  4.  1.  0.  0.  0. 14.  8. 31. 25.],[79.  0. 15.  6.  4.  1.  0.  0.  1. 14.  8. 31. 25.]
4,sat,3,1,0,0,0,0.3636,0.0,0.3636,0,0.3636,1.348,1.48,0,0.0,1.48,0,0,0.8284,0.7108,-,[78.  5. 14. 11.  3.  9.  5.  0.  0. 10.  1. 27. 40.],[78.  5. 14. 11.  3.  9.  5.  0.  1. 10.  1. 27. 40.]
5,sat,4,1,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.614,0.74,0,0.0,0.74,0,0,0.8284,0.7108,-,[86.  0. 14. 16.  4.  1.  0.  1.  0. 19. 19. 25. 29.],[86.  0. 14. 16.  4.  1.  0.  1.  1. 19. 19. 25. 29.]
6,unsat,4,2,0,0,0,0.2727,0.0,0.2727,0,0.2727,0.78,0.92,0,0.0,0.92,0,0,0.8284,0.7108,-,,
7,sat,5,2,0,0,0,0.2727,0.0,0.2727,0,0.2727,0.429,0.57,0,0.0,0.57,0,0,0.8284,0.7108,-,[90.  2.  9. 16.  6.  0.  0.  0.  1. 10.  1. 45. 29.],[90.  2.  9. 16.  6.  0.  0.  0.  0. 10.  1. 45. 29.]
8,sat,6,2,0,0,0,0.1818,0.0,0.1818,0,0.1818,13.252,13.37,0,0.0,13.37,0,0,0.8284,0.7631,-,[38.  5. 11.  1.  6. 10.  0.  0.  0.  3.  9. 62. 34.],[38.  5. 11.  1.  6. 10.  0.  0.  1.  3.  9. 62. 34.]
9,sat,7,2,0,0,0,0.1818,0.0,0.1818,0,0.1818,7.614,7.73,0,0.0,7.73,0,0,0.8284,0.7631,-,[20.  6. 10. 16.  6. 10.  3.  4.  1.  1.  3. 42. 10.],[20.  6. 10. 16.  6. 10.  3.  4.  0.  1.  3. 42. 10.]
10,unsat,7,3,0,0,0,0.2727,0.0,0.2727,0,0.2727,6.055,6.2,0,0.0,6.2,0,0,0.8284,0.7108,-,,
11,unsat,7,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,6.383,6.54,0,0.0,6.54,0,0,0.8284,0.7631,-,,
12,sat,8,4,0,0,0,0.2727,0.0,0.2727,0,0.2727,1.199,1.34,0,0.0,1.34,0,0,0.8284,0.7108,-,[39.  6.  4.  3.  3. 11.  5.  4.  1. 10.  1. 71. 10.],[39.  6.  4.  3.  3. 11.  5.  4.  0. 10.  1. 71. 10.]
13,sat,9,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,4.476,4.61,0,0.0,4.61,0,0,0.8284,0.7631,-,[52.  6. 10. 16.  0.  9.  0.  4.  1.  6.  9. 61. 31.],[52.  6. 10. 16.  0.  9.  0.  4.  0.  6.  9. 61. 31.]
14,sat,10,4,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.999,1.11,0,0.0,1.11,1,1,0.8284,0.7108,-,[38.  6.  0.  1.  0. 13.  5.  0.  1. 10.  0. 31. 30.],[38.  6.  0.  1.  0. 13.  5.  0.  0. 10.  0. 31. 30.]
15,sat,11,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,2.762,2.89,0,0.0,2.89,0,0,0.8284,0.7631,-,[28.  0. 14.  8.  3. 13.  5.  4.  1.  1. 16. 14. 21.],[28.  0. 14.  8.  3. 13.  5.  4.  0.  1. 16. 14. 21.]
16,sat,12,4,0,0,0,0.3636,0.0,0.3636,0,0.3636,1.232,1.36,0,0.0,1.36,1,1,0.8284,0.7108,-,[61.  0. 13. 11.  1. 10.  2.  2.  0. 19. 10. 20. 29.],[61.  0. 13. 11.  1. 10.  2.  2.  1. 19. 10. 20. 29.]
17,sat,13,4,0,0,0,0.2727,0.0,0.2727,0,0.2727,0.351,0.51,0,0.0,0.51,0,0,0.8284,0.7108,-,[90.  0.  9.  3.  6.  0.  0.  0.  1. 19.  0. 30. 25.],[90.  0.  9.  3.  6.  0.  0.  0.  0. 19.  0. 30. 25.]
18,sat,14,4,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.927,1.04,0,0.0,1.04,1,1,0.8284,0.7108,-,[18.  2. 10. 16.  0. 13.  2.  4.  1. 10. 19. 41. 10.],[18.  2. 10. 16.  0. 13.  2.  4.  0. 10. 19. 41. 10.]
19,sat,15,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,1.342,1.52,0,0.0,1.52,0,0,0.8284,0.7631,-,[49.  5. 10.  6.  0. 13.  4.  4.  0. 10. 10. 91. 20.],[49.  5. 10.  6.  0. 13.  4.  4.  1. 10. 10. 91. 20.]
20,sat,16,4,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.692,0.81,0,0.0,0.81,1,1,0.8284,0.7108,-,[16.  3.  0.  7.  1.  8.  0.  4.  0. 10.  9.  1. 19.],[16.  3.  0.  7.  1.  8.  0.  4.  1. 10.  9.  1. 19.]
21,unsat,16,5,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.704,0.84,0,0.0,0.84,0,0,0.8284,0.7108,-,,
22,sat,17,5,0,0,0,0.1818,0.0,0.1818,0,0.1818,6.623,6.75,0,0.0,6.75,1,1,0.8284,0.7631,-,[18.  1.  0.  1.  1.  2.  3.  3.  0.  5. 19. 20. 40.],[18.  1.  0.  1.  1.  2.  3.  3.  1.  5. 19. 20. 40.]
23,sat,18,5,0,0,0,0.1818,0.0,0.1818,0,0.1818,4.218,4.35,0,0.0,4.35,0,0,0.8284,0.7631,-,[49.  6. 10.  1.  3.  0.  5.  4.  0.  5. 10. 40. 21.],[49.  6. 10.  1.  3.  0.  5.  4.  1.  5. 10. 40. 21.]
24,sat,19,5,0,0,0,0.2727,0.0,0.2727,0,0.2727,0.965,1.11,0,0.0,1.11,0,0,0.8284,0.7108,-,[72.  6. 11. 10.  6. 13.  0.  0.  0. 10. 19. 73. 14.],[72.  6. 11. 10.  6. 13.  0.  0.  1. 10. 19. 73. 14.]
25,sat,20,5,0,0,0,0.1818,0.0,0.1818,0,0.1818,8.284,8.4,0,0.0,8.4,0,0,0.8284,0.7631,-,[ 39.   6.  15.  16.   3.   8.   5.   0.   1.   5.   0. 100.  30.],[ 39.   6.  15.  16.   3.   8.   5.   0.   0.   5.   0. 100.  30.]
