Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.328,0.0,0.328,0.224,0.608,101.601,111.39,100.283,100.51,211.91,0,0,0.8485,0.2445,-,,
2,unknown,0,0,2,1,0,0.736,0.0,0.736,0.048,0.784,105.415,107.75,101.533,109.84,217.59,0,0,0.8485,0.2445,-,,
3,unsat,0,1,2,1,1,0.72,0.0,0.72,0.072,0.792,100.309,118.99,76.92,77.02,196.02,0,0,0.8485,0.2445,-,,
4,unknown,0,1,3,1,0,0.456,0.0,0.456,0.152,0.608,100.129,107.33,100.113,100.36,207.69,0,0,0.8485,0.8227,-,,
5,unknown,0,1,4,1,0,0.392,0.0,0.392,0.176,0.568,100.91,110.55,100.579,100.84,211.39,0,0,0.8485,0.8489,-,,
6,unsat,0,2,4,1,1,0.608,0.0,0.608,0.168,0.776,100.967,105.45,10.36,10.48,115.93,0,0,0.8485,0.2445,-,,
7,unsat,0,3,4,1,1,0.76,0.0,0.76,0.04,0.8,100.047,102.05,17.02,17.13,119.18,0,0,0.8485,0.2445,-,,
8,unsat,0,4,4,1,1,0.72,0.0,0.72,0.096,0.816,100.21,102.5,10.134,10.23,112.72,0,0,0.8485,0.2445,-,,
9,unknown,0,4,5,1,0,0.4,0.0,0.4,0.144,0.544,103.596,112.0,100.118,100.44,212.44,0,0,0.8485,0.8489,-,,
10,unsat,0,5,5,0,0,0.792,0.0,0.792,0,0.792,56.057,57.33,0,0.0,57.33,0,0,0.8485,0.2445,-,,
11,unsat,0,6,5,1,1,0.768,0.0,0.768,0.04,0.808,100.057,102.55,73.21,73.31,175.85,0,0,0.8485,0.2445,-,,
