Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.802,0.0,0.802,0,0.802,0.011,1.83,0,0.0,1.83,0,0,0.847,0.7555,-,,
2,sat,1,1,0,0,0,0.901,0.0,0.901,0,0.901,2.806,3.82,0,0.0,3.82,1,1,0.847,0.8432,-,[30.  2. 15. 11.  6.  4.  2.  4.  0.  1. 10. 70. 19.],[30.  2. 15. 11.  6.  4.  2.  3.  1.  1. 10. 70. 19.]
3,unknown,1,1,1,1,0,0.7921,0.0,0.7921,0.0198,0.8119,102.007,103.03,100.035,100.14,203.17,0,0,0.847,0.8079,-,,
4,sat,2,1,1,0,0,0.9307,0.0,0.9307,0,0.9307,2.419,2.79,0,0.0,2.79,1,1,0.847,0.8451,-,[95.  5. 15.  9.  0.  0.  5.  4.  0.  1.  9. 52. 19.],[95.  5. 15.  9.  0.  0.  5.  3.  1.  1.  9. 52. 19.]
5,unsat,2,2,1,0,0,0.9406,0.0,0.9406,0,0.9406,3.401,3.57,0,0.0,3.57,0,0,0.847,0.8079,-,,
6,unsat,2,3,1,0,0,0.8911,0.0,0.8911,0,0.8911,39.264,39.86,0,0.0,39.86,0,0,0.847,0.8079,-,,
7,sat,3,3,1,0,0,0.9505,0.0,0.9505,0,0.9505,4.271,4.46,0,0.0,4.46,1,1,0.847,0.843,-,[ 59.   0.   9.  13.   0.  11.   2.   2.   1.   1.   0. 100.  36.],[ 59.   0.   9.  13.   0.  11.   2.   1.   0.   1.   0. 100.  36.]
8,unknown,3,3,2,1,0,0.8713,0.0,0.8713,0.0,0.8713,24.248,24.5,100.115,100.2,124.7,0,0,0.847,0.8079,-,,
1,unknown,0,0,1,1,0,0.8119,0.0,0.8119,0.0495,0.8614,100.024,101.51,100.139,100.23,201.74,0,0,0.847,0.8448,-,,
2,unknown,0,0,2,1,0,0.7822,0.0,0.7822,0.0396,0.8218,100.14,101.97,100.039,100.14,202.1,0,0,0.847,0.8448,-,,
3,unknown,0,0,3,1,0,0.6931,0.0,0.6931,0.0594,0.7525,100.164,101.69,100.176,100.29,201.99,0,0,0.847,0.8079,-,,
4,unsat,0,1,3,0,0,0.901,0.0,0.901,0,0.901,41.262,41.66,0,0.0,41.66,0,0,0.847,0.8079,-,,
5,unsat,0,2,3,0,0,0.9406,0.0,0.9406,0,0.9406,4.722,4.88,0,0.0,4.88,0,0,0.847,0.8079,-,,
6,sat,1,2,3,0,0,0.9307,0.0,0.9307,0,0.9307,11.305,11.48,0,0.0,11.48,1,1,0.847,0.8471,-,[100.   0.  15.   8.   0.   0.   2.   0.   1.   2.   0.  31.  40.],[100.   0.  15.   8.   0.   0.   2.   4.   0.   2.   0.  31.  40.]
7,unknown,1,2,4,1,0,0.7624,0.0,0.7624,0.0,0.7624,100.086,100.76,100.085,100.21,200.97,0,0,0.847,0.8079,-,,
8,unknown,1,2,5,1,0,0.495,0.0,0.495,0.1287,0.6238,100.318,104.22,100.102,100.29,204.51,0,0,0.847,0.8471,-,,
9,sat,2,2,5,0,0,0.9208,0.0,0.9208,0,0.9208,5.528,5.94,0,0.0,5.94,1,1,0.847,0.8471,-,[60.  0.  1. 10.  4.  0.  5.  4.  1.  0.  9. 51. 39.],[60.  0.  1. 10.  4.  0.  5.  0.  0.  0.  9. 51. 39.]
10,unsat,2,3,5,0,0,0.8515,0.0,0.8515,0,0.8515,67.506,69.03,0,0.0,69.03,0,0,0.847,0.8079,-,,
11,sat,3,3,5,0,0,0.9307,0.0,0.9307,0,0.9307,3.198,3.59,0,0.0,3.59,1,1,0.847,0.8471,-,[49.  0. 10. 10.  0. 12.  5.  1.  1.  0. 19. 51. 30.],[49.  0. 10. 10.  0. 12.  5.  0.  0.  0. 19. 51. 30.]
12,sat,4,3,5,0,0,0.9208,0.0,0.9208,0,0.9208,3.545,3.93,0,0.0,3.93,1,1,0.847,0.8448,-,[30.  3. 15. 16.  0. 12.  1.  4.  1.  0.  3. 79. 39.],[30.  3. 15. 16.  0. 12.  1.  0.  0.  0.  3. 79. 39.]
13,unknown,4,3,6,1,0,0.8218,0.0,0.8218,0.0495,0.8713,100.01,101.33,100.017,100.08,201.41,0,0,0.847,0.8079,-,,
14,unknown,4,3,7,1,0,0.7129,0.0,0.7129,0.0693,0.7822,100.083,101.88,100.018,100.12,202.01,0,0,0.847,0.8079,-,,
15,unknown,4,3,8,1,0,0.7723,0.0,0.7723,0.0099,0.7822,100.028,101.17,100.148,100.26,201.43,0,0,0.847,0.8079,-,,
16,unknown,4,3,9,1,0,0.7921,0.0,0.7921,0.0495,0.8416,100.293,101.68,100.043,100.12,201.8,0,0,0.847,0.8079,-,,
