Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,1,1,0.648,0.0,0.648,0.104,0.76,100.588,102.3,64.649,64.74,167.04,0,0,0.8485,0.2445,-,,
2,unsat,0,2,0,1,1,0.784,0.0,0.784,0.024,0.816,100.02,101.07,12.069,12.13,113.2,0,0,0.8485,0.2445,-,,
3,unsat,0,3,0,1,1,0.648,0.0,0.648,0.08,0.736,100.192,101.78,69.293,69.39,171.17,0,0,0.8485,0.2445,-,,
4,unknown,0,3,1,1,0,0.464,0.0,0.464,0.128,0.616,103.779,108.78,100.049,100.2,208.98,0,0,0.8485,0.2445,-,,
5,unsat,0,4,1,0,0,0.824,0.0,0.824,0,0.824,36.837,37.14,0,0.0,37.14,0,0,0.8485,0.2445,-,,
6,unsat,0,5,1,0,0,0.792,0.0,0.792,0,0.792,41.65,42.52,0,0.0,42.52,0,0,0.8485,0.2445,-,,
7,unknown,0,5,2,1,0,0.568,0.0,0.568,0.152,0.736,100.191,103.58,100.035,100.13,203.71,0,0,0.8485,0.2445,-,,
8,unknown,0,5,3,1,0,0.704,0.0,0.704,0.072,0.784,100.111,101.47,100.11,100.19,201.66,0,0,0.8485,0.2445,-,,
9,unknown,0,5,4,1,0,0.36,0.0,0.36,0.2,0.584,101.967,108.11,101.98,102.16,210.26,0,0,0.8485,0.2445,-,,
10,unknown,0,5,5,1,0,0.48,0.0,0.48,0.168,0.664,103.191,107.91,110.621,110.76,218.67,0,0,0.8485,0.2445,-,,
11,unknown,0,5,6,1,0,0.432,0.0,0.432,0.168,0.616,104.035,458.4,100.211,101.05,559.44,0,0,0.8485,0.2445,-,,
