Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.0769,0.0,0.0769,0,0.0769,2.503,3.17,0,0.0,3.17,1,1,0.832,0.8377,-,[69.  5. 14. 11.  4. 13.  0.  3.  1.  0. 10. 44. 20.],[69.  5. 14. 11.  4. 13.  0.  4.  0.  0. 10. 44. 20.]
2,unsat,1,1,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.496,0.99,0,0.0,0.99,0,0,0.832,0.2445,-,,
3,sat,2,1,0,0,0,0.0769,0.0,0.0769,0,0.0769,9.168,9.75,0,0.0,9.75,1,1,0.832,0.832,-,[81.  5.  9.  6.  2. 10.  3.  3.  0.  0.  0.  5. 16.],[81.  5.  9.  6.  2. 10.  3.  2.  1.  0.  0.  5. 16.]
4,unsat,2,2,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.272,0.76,0,0.0,0.76,0,0,0.832,0.2445,-,,
5,unsat,2,3,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.52,1.02,0,0.0,1.02,0,0,0.832,0.2445,-,,
6,sat,3,3,0,0,0,0.0769,0.0,0.0769,0,0.0769,1.545,2.13,0,0.0,2.13,1,1,0.832,0.832,-,[38.  3.  2. 10.  5.  0.  0.  3.  1.  0. 19. 73. 40.],[38.  3.  2. 10.  5.  0.  0.  0.  0.  0. 19. 73. 40.]
7,sat,4,3,0,0,0,0.0769,0.0,0.0769,0,0.0769,21.596,22.18,0,0.0,22.18,1,1,0.832,0.832,-,[50.  5. 10. 10.  2.  0.  4.  4.  1.  0.  0. 56. 29.],[50.  5. 10. 10.  2.  0.  4.  0.  0.  0.  0. 56. 29.]
8,sat,5,3,0,0,0,0.0769,0.0,0.0769,0,0.0769,5.893,6.52,0,0.0,6.52,1,1,0.832,0.832,-,[20.  6.  0. 11.  3.  9.  0.  1.  0.  0. 12. 63. 40.],[20.  6.  0. 11.  3.  9.  0.  0.  1.  0. 12. 63. 40.]
9,sat,6,3,0,0,0,0.0769,0.0,0.0769,0,0.0769,3.273,3.99,0,0.0,3.99,1,1,0.832,0.832,-,[60.  1.  4.  4.  6. 13.  0.  2.  1.  1. 15. 71.  8.],[60.  1.  4.  4.  6. 13.  0.  1.  0.  1. 15. 71.  8.]
10,sat,7,3,0,0,0,0.0769,0.0,0.0769,0,0.0769,22.138,22.73,0,0.0,22.73,1,1,0.832,0.832,-,[62.  5.  3. 11.  4.  4.  1.  4.  0.  0. 10. 31. 40.],[62.  5.  3. 11.  4.  4.  1.  2.  1.  0. 10. 31. 40.]
11,unsat,7,4,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.55,1.04,0,0.0,1.04,0,0,0.832,0.2445,-,,
12,unsat,7,5,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.344,0.84,0,0.0,0.84,0,0,0.832,0.2445,-,,
