Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.424,0.0,0.424,0.16,0.584,102.112,110.08,100.298,100.55,210.63,0,0,0.8485,1.0,-,,
2,unsat,0,1,1,0,0,0.816,0.0,0.816,0,0.816,14.871,15.26,0,0.0,15.26,0,0,0.8485,1.0,-,,
3,unsat,0,2,1,0,0,0.808,0.0,0.808,0,0.808,28.564,29.6,0,0.0,29.6,0,0,0.8485,1.0,-,,
4,unsat,0,3,1,1,1,0.76,0.0,0.76,0.056,0.816,100.025,101.3,30.429,30.5,131.81,0,0,0.8485,1.0,-,,
5,unknown,0,3,2,1,0,0.52,0.0,0.52,0.128,0.648,101.073,105.81,101.002,101.16,206.96,0,0,0.8485,1.0,-,,
6,unsat,0,4,2,0,0,0.824,0.0,0.824,0,0.824,58.532,59.15,0,0.0,59.15,0,0,0.8485,1.0,-,,
7,unsat,0,5,2,1,1,0.68,0.0,0.68,0.136,0.816,107.05,111.82,56.942,57.03,168.85,0,0,0.8485,1.0,-,,
8,unsat,0,6,2,1,1,0.712,0.0,0.712,0.12,0.832,100.322,102.68,0.031,0.12,102.8,0,0,0.8485,1.0,-,,
9,unknown,0,6,3,1,0,0.544,0.0,0.544,0.144,0.688,100.836,105.5,101.258,101.41,206.91,0,0,0.8485,1.0,-,,
10,unknown,0,6,4,1,0,0.352,0.0,0.352,0.184,0.536,102.399,111.78,100.934,101.24,213.02,0,0,0.8485,1.0,-,,
11,unknown,0,6,5,1,0,0.768,0.0,0.768,0.024,0.792,100.047,101.7,100.242,100.33,202.02,0,0,0.8485,1.0,-,,
12,unsat,0,7,5,0,0,0.8,0.0,0.8,0,0.8,26.492,27.15,0,0.0,27.15,0,0,0.8485,1.0,-,,
13,unsat,0,8,5,0,0,0.784,0.0,0.784,0,0.784,68.568,69.48,0,0.0,69.48,0,0,0.8485,1.0,-,,
14,unknown,0,8,6,1,0,0.48,0.0,0.48,0.104,0.584,100.038,104.98,100.037,100.26,205.24,0,0,0.8485,1.0,-,,
