Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.072,0.61,0,0.0,0.62,0,0,0.8894,0.1312,-,,
2,unsat,0,2,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.078,0.61,0,0.0,0.61,0,0,0.8894,0.1312,-,,
3,sat,1,2,0,0,0,0.6842,0.0,0.7368,0,0.7368,0.144,0.7,0,0.0,0.7,1,1,0.8894,0.887,-,"[  0.   0.   1.   0.   0.   1.   1.   1.   0.   2. 400.   0.   2. 296.
   5.   0.]","[  1.   0.   1.   0.   0.   1.   1.   1.   0.   2. 400.   0.   2. 296.
   5.   0.]"
4,sat,2,2,0,0,0,0.6842,0.0,0.7368,0,0.7368,0.21,0.75,0,0.0,0.75,0,0,0.8894,0.887,-,"[  0.  10.   1.   6.   1.   1.   0.   1.   1.   1. 593.  -2.  50. 604.
   6.   1.]","[  1.  10.   1.   6.   1.   1.   0.   1.   1.   1. 593.  -2.  50. 604.
   6.   1.]"
5,unsat,2,3,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.082,0.6,0,0.0,0.6,0,0,0.8894,0.1312,-,,
6,unsat,2,4,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.11,0.7,0,0.0,0.7,0,0,0.8894,0.1312,-,,
7,unsat,2,5,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.101,0.65,0,0.0,0.65,0,0,0.8894,0.1312,-,,
8,unsat,2,6,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.088,0.63,0,0.0,0.63,0,0,0.8894,0.1312,-,,
9,sat,3,6,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.154,0.71,0,0.0,0.71,1,1,0.8894,0.887,-,"[0.000e+00 2.000e+00 2.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 1.000e+00 6.000e+00 1.112e+03 1.000e+00 4.700e+01 8.000e+02
 3.000e+00 0.000e+00]","[1.000e+00 2.000e+00 2.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 1.000e+00 6.000e+00 1.112e+03 1.000e+00 4.700e+01 8.000e+02
 3.000e+00 0.000e+00]"
10,unsat,3,7,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.074,0.62,0,0.0,0.62,0,0,0.8894,0.1312,-,,
11,unsat,3,8,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.075,0.6,0,0.0,0.6,0,0,0.8894,0.1312,-,,
12,unsat,3,9,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.077,0.6,0,0.0,0.6,0,0,0.8894,0.1312,-,,
13,unsat,3,10,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.074,0.64,0,0.0,0.64,0,0,0.8894,0.1312,-,,
14,unsat,3,11,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.074,0.59,0,0.0,0.59,0,0,0.8894,0.1312,-,,
15,unsat,3,12,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.077,0.6,0,0.0,0.6,0,0,0.8894,0.1312,-,,
16,unsat,3,13,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.067,0.61,0,0.0,0.61,0,0,0.8894,0.1312,-,,
17,sat,4,13,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.087,0.8,0,0.0,0.8,1,1,0.8894,0.887,-,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.10e+01 0.00e+00 1.50e+03 1.00e+00 5.00e+01 8.99e+02 7.00e+00 0.00e+00]","[1.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.10e+01 0.00e+00 1.50e+03 1.00e+00 5.00e+01 8.99e+02 7.00e+00 0.00e+00]"
18,unsat,4,14,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.097,0.63,0,0.0,0.63,0,0,0.8894,0.1312,-,,
19,unsat,4,15,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.073,0.61,0,0.0,0.61,0,0,0.8894,0.1312,-,,
20,sat,5,15,0,0,0,0.6842,0.0526,0.7895,0,0.7895,0.117,0.82,0,0.0,0.82,1,1,0.8894,0.887,-,"[  0.  10.   2.   0.   1.   0.   0.   0.   2.   6. 699.  -1.   1. 900.
   3.   0.]","[  1.  10.   2.   0.   1.   0.   0.   0.   2.   6. 699.  -1.   1. 900.
   3.   0.]"
21,sat,6,15,0,0,0,0.6842,0.0,0.7368,0,0.7368,0.291,0.86,0,0.0,0.86,1,1,0.8894,0.887,-,"[  0.   2.   2.   0.   0.   1.   1.   0.   0.   5. 601.   1.   5. 406.
   5.   0.]","[  1.   2.   2.   0.   0.   1.   1.   0.   0.   5. 601.   1.   5. 406.
   5.   0.]"
22,sat,7,15,0,0,0,0.6842,0.0,0.7368,0,0.7368,0.211,0.76,0,0.0,0.76,1,1,0.8894,0.887,-,"[  0.  10.   1.   0.   1.   0.   0.   0.  11.   6. 606.  -2.   7. 795.
   6.   2.]","[  1.  10.   1.   0.   1.   0.   0.   0.  11.   6. 606.  -2.   7. 795.
   6.   2.]"
23,unsat,7,16,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.072,0.59,0,0.0,0.59,0,0,0.8894,0.1312,-,,
24,sat,8,16,0,0,0,0.6842,0.0526,0.7895,0,0.7895,0.165,0.84,0,0.0,0.84,1,1,0.8894,0.887,-,"[  1.   3.   2.   0.   0.   0.   0.   0.   0.   0. 920.   1.  50. 709.
   0.   2.]","[  0.   3.   2.   0.   0.   0.   0.   0.   0.   0. 920.   1.  50. 709.
   0.   2.]"
25,unsat,8,17,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.089,0.63,0,0.0,0.63,0,0,0.8894,0.1312,-,,
26,unsat,8,18,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.068,0.59,0,0.0,0.59,0,0,0.8894,0.1312,-,,
27,unsat,8,19,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.09,0.62,0,0.0,0.62,0,0,0.8894,0.1312,-,,
28,sat,9,19,0,0,0,0.3684,0.0,0.4211,0,0.4211,8.26,9.52,0,0.0,9.52,0,0,0.8894,0.887,-,"[  0.   2.   0.   1.   1.   1.   0.   1.   8.   1.  13.  -1.   4. 110.
   0.   2.]","[  1.   2.   0.   1.   1.   1.   0.   1.   8.   1.  13.  -1.   4. 110.
   0.   2.]"
29,unsat,9,20,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.081,0.7,0,0.0,0.7,0,0,0.8894,0.1312,-,,
30,sat,10,20,0,1,1,0.1579,0.0,0.2105,0.4737,0.6842,100.161,102.17,0.66,0.78,102.95,0,0,0.8894,0.887,-,"[  0.   0.   0.   0.   1.   0.   1.   1.  11.   0. 100.  -2.   6.   0.
   7.   0.]","[  1.   0.   0.   0.   1.   0.   1.   1.  11.   0. 100.  -2.   6.   0.
   7.   0.]"
31,unsat,10,21,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.104,0.63,0,0.0,0.63,0,0,0.8894,0.1312,-,,
32,sat,11,21,0,0,0,0.6842,0.0,0.7368,0,0.7368,0.152,0.68,0,0.0,0.68,1,1,0.8894,0.887,-,"[  1.   1.   0.   0.   1.   0.   1.   0.  11.   0. 700.   0.  22. 293.
   7.   0.]","[  0.   1.   0.   0.   1.   0.   1.   0.  11.   0. 700.   0.  22. 293.
   7.   0.]"
33,unsat,11,22,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.083,0.62,0,0.0,0.62,0,0,0.8894,0.1312,-,,
34,unsat,11,23,0,0,0,0.7368,0.0,0.7895,0,0.7895,0.08,0.79,0,0.0,0.79,0,0,0.8894,0.1312,-,,
35,sat,12,23,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.128,0.72,0,0.0,0.72,1,1,0.8894,0.887,-,"[0.000e+00 1.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 6.000e+00 1.255e+03 1.000e+00 5.000e+01 8.050e+02
 7.000e+00 1.000e+00]","[1.000e+00 1.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 6.000e+00 1.255e+03 1.000e+00 5.000e+01 8.050e+02
 7.000e+00 1.000e+00]"
36,unsat,12,24,0,0,0,0.7895,0.0,0.7895,0,0.7895,0.082,0.65,0,0.0,0.65,0,0,0.8894,0.1312,-,,
