Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.04,0.27,0,0.0,0.27,1,1,0.8876,1.0,-,"[1.00e+00 2.00e+00 0.00e+00 3.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.10e+01 1.00e+00 1.10e+03 1.00e+00 5.00e+01 9.88e+02 7.00e+00 0.00e+00]","[0.00e+00 2.00e+00 0.00e+00 3.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00
 1.10e+01 1.00e+00 1.10e+03 1.00e+00 5.00e+01 9.88e+02 7.00e+00 0.00e+00]"
2,sat,2,0,0,0,0,0.8163,0.0,0.8163,0,0.8163,0.521,1.12,0,0.0,1.12,1,1,0.8876,1.0,-,"[0.0e+00 0.0e+00 0.0e+00 0.0e+00 1.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00
 0.0e+00 2.4e+03 0.0e+00 4.0e+00 2.4e+01 1.0e+00 0.0e+00]","[1.0e+00 0.0e+00 0.0e+00 0.0e+00 1.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00
 0.0e+00 2.4e+03 0.0e+00 4.0e+00 2.4e+01 1.0e+00 0.0e+00]"
3,unsat,2,1,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.024,0.19,0,0.0,0.19,0,0,0.8876,1.0,-,,
4,unsat,2,2,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.015,0.17,0,0.0,0.17,0,0,0.8876,1.0,-,,
5,unsat,2,3,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.019,0.2,0,0.0,0.2,0,0,0.8876,1.0,-,,
6,unknown,2,3,1,1,0,0.6122,0.0,0.6122,0.0816,0.6939,100.051,100.8,100.025,100.08,200.88,0,0,0.8876,1.0,-,,
7,unsat,2,4,1,0,0,0.9184,0.0,0.9184,0,0.9184,0.029,0.16,0,0.0,0.16,0,0,0.8876,1.0,-,,
8,sat,3,4,1,0,0,0.9184,0.0,0.9184,0,0.9184,0.048,0.25,0,0.0,0.25,1,1,0.8876,1.0,-,"[0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 1.000e+00
 1.000e+00 9.000e+00 0.000e+00 1.001e+03 1.000e+00 5.000e+01 7.990e+02
 7.000e+00 0.000e+00]","[1.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 1.000e+00
 1.000e+00 9.000e+00 0.000e+00 1.001e+03 1.000e+00 5.000e+01 7.990e+02
 7.000e+00 0.000e+00]"
9,sat,4,4,1,1,1,0.6735,0.0,0.6735,0.0408,0.7143,100.059,100.81,95.568,95.63,196.43,1,1,0.8876,1.0,-,"[  0.   7.   0.   5.   1.   1.   0.   1.   4.   6. 300.  -2.   1. 337.
   0.   0.]","[  1.   7.   0.   5.   1.   1.   0.   1.   4.   6. 300.  -2.   1. 337.
   0.   0.]"
10,sat,5,4,1,0,0,0.6531,0.0,0.6531,0,0.6531,49.495,50.13,0,0.0,50.13,1,1,0.8876,1.0,-,"[  0.   2.   0.   0.   1.   1.   0.   0.   7.   3. 301.   1.  15. 199.
   0.   0.]","[  1.   2.   0.   0.   1.   1.   0.   0.   7.   3. 301.   1.  15. 199.
   0.   0.]"
