Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.624,0.0,0.624,0.032,0.632,128.682,130.25,100.194,101.07,231.32,0,0,0.6933,1.0,-,,
2,unknown,0,0,2,1,0,0.608,0.0,0.608,0.024,0.616,104.806,106.64,103.427,104.39,211.02,0,0,0.6933,1.0,-,,
3,unknown,0,0,3,1,0,0.008,0.0,0.008,0.056,0.064,101.167,128.08,101.94,105.65,233.74,0,0,0.6933,1.0,-,,
4,unknown,0,0,4,1,0,0.552,0.0,0.552,0.064,0.608,100.67,106.02,103.511,104.42,210.44,0,0,0.6933,1.0,-,,
5,unsat,0,1,4,0,0,0.616,0.0,0.616,0,0.616,0.28,2.09,0,0.0,2.09,0,0,0.6933,1.0,-,,
6,unknown,0,1,5,1,0,0.416,0.0,0.416,0.072,0.488,101.426,117.29,100.6,101.87,219.17,0,0,0.6933,1.0,-,,
7,unknown,0,1,6,1,0,0.624,0.0,0.624,0.032,0.632,100.093,101.72,100.192,101.07,202.79,0,0,0.6933,1.0,-,,
8,unknown,0,1,7,1,0,0.624,0.0,0.624,0.032,0.632,100.117,101.68,100.165,101.03,202.71,0,0,0.6933,1.0,-,,
9,unknown,0,1,8,1,0,0.624,0.0,0.624,0.032,0.632,104.592,106.24,107.74,108.71,214.95,0,0,0.6933,1.0,-,,
10,unsat,0,2,8,0,0,0.616,0.0,0.616,0,0.616,0.279,2.07,0,0.0,2.07,0,0,0.6933,1.0,-,,
11,unsat,0,3,8,0,0,0.616,0.0,0.616,0,0.616,0.298,2.1,0,0.0,2.1,0,0,0.6933,1.0,-,,
12,unknown,0,3,9,1,0,0.624,0.0,0.624,0.032,0.632,152.824,154.45,101.71,103.54,258.0,0,0,0.6933,1.0,-,,
1,unknown,0,0,1,1,0,0.616,0.0,0.616,0.04,0.632,100.253,100.66,116.971,117.19,217.84,0,0,0.6933,1.0,-,,
2,unknown,0,0,2,1,0,0.624,0.0,0.624,0.032,0.632,100.065,100.48,101.058,101.25,201.73,0,0,0.6933,1.0,-,,
3,unknown,0,0,3,1,0,0.592,0.0,0.592,0.032,0.616,100.605,101.13,100.067,100.3,201.42,0,0,0.6933,1.0,-,,
4,unsat,0,1,3,0,0,0.616,0.0,0.616,0,0.616,0.076,0.49,0,0.0,0.49,0,0,0.6933,1.0,-,,
5,unknown,0,1,4,1,0,0.624,0.0,0.624,0.032,0.632,100.095,100.48,100.613,100.81,201.29,0,0,0.6933,1.0,-,,
6,unknown,0,1,5,1,0,0.384,0.0,0.384,0.088,0.472,100.683,104.47,100.505,100.82,205.29,0,0,0.6933,1.0,-,,
7,unknown,0,1,6,1,0,0.616,0.0,0.616,0.04,0.632,100.846,101.25,100.099,100.4,201.65,0,0,0.6933,1.0,-,,
8,unknown,0,1,7,1,0,0.616,0.0,0.616,0.04,0.632,100.053,100.6,101.549,101.85,202.45,0,0,0.6933,1.0,-,,
9,unknown,0,1,8,1,0,0.624,0.0,0.624,0.032,0.632,100.474,101.09,100.704,101.0,202.08,0,0,0.6933,1.0,-,,
10,unknown,0,1,9,1,0,0.624,0.0,0.624,0.032,0.632,101.919,102.47,104.786,105.06,207.53,0,0,0.6933,1.0,-,,
