Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.6733,0.0,0.6733,0.0495,0.7525,100.143,103.52,100.033,100.22,203.74,0,0,0.7467,1.0,-,,
2,unknown,0,0,2,1,0,0.7426,0.0,0.7426,0.0594,0.8317,100.119,102.39,100.161,100.28,202.67,0,0,0.7467,0.936,-,,
3,unknown,0,0,3,1,0,0.7129,0.0,0.7129,0.0495,0.7921,100.178,102.43,100.009,100.17,202.6,0,0,0.7467,1.0,-,,
4,unknown,0,0,4,1,0,0.802,0.0,0.802,0.0198,0.8515,100.038,101.6,100.016,100.1,201.7,0,0,0.7467,0.836,-,,
5,unknown,0,0,5,1,0,0.7921,0.0,0.7921,0.0693,0.8911,100.02,102.52,100.082,100.17,202.69,0,0,0.7467,0.916,-,,
6,unsat,0,1,5,1,1,0.8416,0.0,0.8416,0.0297,0.901,100.078,101.27,70.775,70.85,172.13,0,0,0.7467,0.952,-,,
7,sat,1,1,5,1,1,0.8218,0.0,0.8218,0.0495,0.901,101.365,103.25,40.581,48.87,152.12,0,0,0.7467,0.601,-,"[1.000e+00 0.000e+00 2.000e+00 8.000e+00 9.535e+03 0.000e+00 2.000e+00
 4.000e+00 0.000e+00 4.000e+00 1.000e+00 1.000e+00 0.000e+00 2.000e+00
 1.000e+00 2.000e+00 2.000e+00 1.000e+00 1.000e+00 1.000e+00]","[1.000e+00 0.000e+00 2.000e+00 8.000e+00 9.535e+03 0.000e+00 2.000e+00
 4.000e+00 0.000e+00 4.000e+00 1.000e+00 0.000e+00 0.000e+00 2.000e+00
 1.000e+00 2.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00]"
8,unknown,1,1,6,1,0,0.7921,0.0,0.7921,0.0792,0.901,100.21,115.8,100.081,100.44,216.24,0,0,0.7467,0.883,-,,
9,sat,2,1,6,1,1,0.8218,0.0,0.8218,0.0495,0.901,100.108,108.62,16.306,16.63,125.25,0,0,0.7467,0.587,-,"[2.000e+00 1.000e+00 0.000e+00 4.000e+00 9.948e+03 2.000e+00 2.000e+00
 3.000e+00 2.000e+00 4.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 3.000e+00 2.000e+00 1.000e+00 1.000e+00 1.000e+00]","[2.000e+00 1.000e+00 0.000e+00 4.000e+00 9.948e+03 2.000e+00 2.000e+00
 3.000e+00 2.000e+00 4.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00
 1.000e+00 3.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00]"
10,unknown,2,1,7,1,0,0.7624,0.0,0.7624,0.0495,0.8416,100.227,109.51,119.55,119.98,229.49,0,0,0.7467,0.898,-,,
1,unknown,0,0,1,1,0,0.6832,0.0,0.6832,0.0891,0.802,100.113,104.42,100.085,100.24,204.65,0,0,0.7467,0.999,-,,
2,unsat,0,1,1,1,1,0.8218,0.0,0.8218,0.0495,0.901,100.039,102.07,60.177,60.26,162.33,0,0,0.7467,0.887,-,,
3,unknown,0,1,2,1,0,0.7426,0.0,0.7426,0.0594,0.8317,100.034,102.43,100.025,100.17,202.6,0,0,0.7467,0.942,-,,
4,sat,1,1,2,1,1,0.8218,0.0,0.8218,0.0495,0.901,100.024,101.93,10.275,10.36,112.29,0,0,0.7467,0.595,-,"[2.000e+00 2.000e+00 1.000e+00 5.000e+00 9.399e+03 0.000e+00 1.000e+00
 4.000e+00 2.000e+00 4.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00
 1.000e+00 2.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00]","[2.000e+00 2.000e+00 1.000e+00 5.000e+00 9.399e+03 0.000e+00 1.000e+00
 4.000e+00 2.000e+00 4.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 1.000e+00 2.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00]"
5,unsat,1,2,2,1,1,0.8317,0.0,0.8317,0.0396,0.901,100.063,101.68,75.414,75.5,177.18,0,0,0.7467,0.911,-,,
6,unknown,1,2,3,1,0,0.8119,0.0,0.8119,0.0198,0.8614,100.018,101.25,100.042,100.14,201.4,0,0,0.7467,0.85,-,,
7,unknown,1,2,4,1,0,0.7129,0.0,0.7129,0.0693,0.8119,100.062,102.96,100.036,100.17,203.13,0,0,0.7467,0.988,-,,
8,unknown,1,2,5,1,0,0.802,0.0,0.802,0.0396,0.8713,100.036,101.93,100.053,100.15,202.09,0,0,0.7467,0.835,-,,
9,unknown,1,2,6,1,0,0.7624,0.0,0.7624,0.0693,0.8614,100.032,102.57,100.036,100.14,202.72,0,0,0.7467,0.892,-,,
10,unsat,1,3,6,1,1,0.8416,0.0,0.8416,0.0297,0.901,100.018,101.28,46.797,46.88,148.16,0,0,0.7467,0.989,-,,
