Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.7,0.0,0.7,0,0.7,0.185,0.34,0,0.0,0.34,1,1,0.7067,1.0,-,"[2.0000e+00 0.0000e+00 2.0000e+00 9.0000e+00 1.7385e+04 2.0000e+00
 2.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 2.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00]","[2.0000e+00 0.0000e+00 2.0000e+00 9.0000e+00 1.7385e+04 2.0000e+00
 2.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 2.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00]"
2,sat,2,0,0,0,0,0.7,0.0,0.7,0,0.7,0.432,0.67,0,0.0,0.67,1,1,0.7067,1.0,-,"[1.0e+00 1.9e+01 1.0e+00 0.0e+00 3.1e+03 1.0e+00 0.0e+00 3.0e+00 2.0e+00
 4.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 0.0e+00
 0.0e+00 0.0e+00]","[1.0e+00 1.9e+01 1.0e+00 0.0e+00 3.1e+03 1.0e+00 0.0e+00 3.0e+00 2.0e+00
 4.0e+00 0.0e+00 1.0e+00 0.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 0.0e+00
 0.0e+00 0.0e+00]"
3,sat,3,0,0,1,1,0.0,0.0,0.0,0.1,0.1,100.008,100.18,43.24,43.29,143.48,1,1,0.7067,1.0,-,[0. 2. 1. 3. 0. 2. 0. 4. 0. 4. 0. 0. 0. 0. 3. 0. 2. 0. 0. 0.],[0. 2. 1. 3. 0. 2. 0. 4. 0. 4. 0. 1. 0. 0. 3. 0. 2. 0. 0. 0.]
4,sat,4,0,0,0,0,0.7,0.0,0.7,0,0.7,0.394,0.5,0,0.0,0.5,1,1,0.7067,1.0,-,"[0.000e+00 2.500e+01 0.000e+00 1.000e+00 1.332e+03 0.000e+00 0.000e+00
 3.000e+00 1.000e+00 2.000e+00 2.000e+00 0.000e+00 0.000e+00 2.000e+00
 2.000e+00 3.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00]","[0.000e+00 2.500e+01 0.000e+00 1.000e+00 1.332e+03 0.000e+00 0.000e+00
 3.000e+00 1.000e+00 2.000e+00 2.000e+00 1.000e+00 0.000e+00 2.000e+00
 2.000e+00 3.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00]"
5,sat,5,0,0,0,0,0.7,0.0,0.7,0,0.7,0.133,0.24,0,0.0,0.24,1,1,0.7067,1.0,-,"[1.000e+00 1.700e+01 0.000e+00 0.000e+00 4.799e+03 2.000e+00 0.000e+00
 1.000e+00 0.000e+00 4.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00]","[1.000e+00 1.700e+01 0.000e+00 0.000e+00 4.799e+03 2.000e+00 0.000e+00
 1.000e+00 0.000e+00 4.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00]"
6,sat,6,0,0,0,0,0.7,0.0,0.7,0,0.7,0.175,0.28,0,0.0,0.28,1,1,0.7067,1.0,-,"[  0.  72.   1.   1. 484.   1.   1.   4.   0.   4.   2.   1.   0.   0.
   4.   0.   2.   1.   1.   0.]","[  0.  72.   1.   1. 484.   1.   1.   4.   0.   4.   2.   0.   0.   0.
   4.   0.   2.   1.   1.   0.]"
7,sat,7,0,0,0,0,0.7,0.0,0.7,0,0.7,0.304,0.41,0,0.0,0.41,1,1,0.7067,1.0,-,"[0.0000e+00 0.0000e+00 2.0000e+00 7.0000e+00 1.5497e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 3.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 2.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]","[0.0000e+00 0.0000e+00 2.0000e+00 7.0000e+00 1.5497e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 3.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 2.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]"
8,sat,8,0,0,0,0,0.7,0.0,0.7,0,0.7,0.383,0.51,0,0.0,0.51,1,1,0.7067,1.0,-,"[2.0000e+00 0.0000e+00 1.0000e+00 5.0000e+00 1.4504e+04 0.0000e+00
 2.0000e+00 3.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 0.0000e+00 4.0000e+00 3.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]","[2.0000e+00 0.0000e+00 1.0000e+00 5.0000e+00 1.4504e+04 0.0000e+00
 2.0000e+00 3.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 0.0000e+00 4.0000e+00 3.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]"
9,sat,9,0,0,0,0,0.7,0.0,0.7,0,0.7,0.364,0.47,0,0.0,0.47,1,1,0.7067,1.0,-,"[1.0000e+00 0.0000e+00 2.0000e+00 9.0000e+00 1.6199e+04 1.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00 4.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]","[1.0000e+00 0.0000e+00 2.0000e+00 9.0000e+00 1.6199e+04 1.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00 4.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]"
10,sat,10,0,0,0,0,0.7,0.0,0.7,0,0.7,0.224,0.33,0,0.0,0.33,1,1,0.7067,1.0,-,"[2.000e+00 5.000e+00 0.000e+00 0.000e+00 7.641e+03 0.000e+00 0.000e+00
 4.000e+00 2.000e+00 4.000e+00 0.000e+00 1.000e+00 2.000e+00 0.000e+00
 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00]","[2.000e+00 5.000e+00 0.000e+00 0.000e+00 7.641e+03 0.000e+00 0.000e+00
 4.000e+00 2.000e+00 4.000e+00 0.000e+00 0.000e+00 2.000e+00 0.000e+00
 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00]"
